# started on Tue Feb 25 11:18:19 2020


 Performance counter stats for 'system wide':

CPU76               1,054.92 msec cpu-clock                 #    0.998 CPUs utilized          
CPU77               1,054.92 msec cpu-clock                 #    0.998 CPUs utilized          
CPU78               1,054.92 msec cpu-clock                 #    0.998 CPUs utilized          
CPU79               1,054.92 msec cpu-clock                 #    0.998 CPUs utilized          
CPU80               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU81               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU82               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU83               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU84               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU85               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU86               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU87               1,054.93 msec cpu-clock                 #    0.998 CPUs utilized          
CPU88               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU89               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU90               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU91               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU92               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU93               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU94               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU95               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU96               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU97               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU98               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU99               1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU100              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU101              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU102              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU103              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU104              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU105              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU106              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU107              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU108              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU109              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU110              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU111              1,054.94 msec cpu-clock                 #    0.998 CPUs utilized          
CPU112              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU113              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU114              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU115              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU116              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU117              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU118              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU119              1,054.95 msec cpu-clock                 #    0.998 CPUs utilized          
CPU120              1,054.96 msec cpu-clock                 #    0.998 CPUs utilized          
CPU121              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU122              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU123              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU124              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU125              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU126              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU127              1,054.97 msec cpu-clock                 #    0.998 CPUs utilized          
CPU0             576,364,530      cycles                    #    0.546 GHz                    
CPU1               9,983,545      cycles                    #    0.009 GHz                    
CPU2             663,681,159      cycles                    #    0.629 GHz                    
CPU3             582,167,738      cycles                    #    0.552 GHz                    
